# VM memory / Footprint / Real memory
2 3.97 1.98 
3 5.94 2.95
4 7.81 3.75
5 9.77 4.75
6 11.75 5.72
7 13.73 6.66
8 15.70 7.39
9 17.67 7.99
10 19.63 8.26
