# Time offset, Memory from Activity Monitor
6 1153433 # 1.1 MB
37 1153433 # 1.1 MB
38 3221225472 # 3 GB
102 3221225472 # 3 GB
103 4294967296 # 4 GB
132 4294967296 # 4 GB
133 4305704714 # 4.01 GB
